[  970ns | cycle   47] PC=0x00000044 | PC_next=0x00000048 | instr=0x0002a983 | stall_fetch=0 | exc_req=0 | exc_code=14
[  990ns | cycle   48] PC=0x00000048 | PC_next=0x00000048 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1010ns | cycle   49] PC=0x00000048 | PC_next=0x00000048 | instr=0x00000297 | stall_fetch=1 | exc_req=0 | exc_code=14
[ 1030ns | cycle   50] PC=0x00000048 | PC_next=0x00000048 | instr=0x00000013 | stall_fetch=1 | exc_req=0 | exc_code=14
[ 1050ns | cycle   51] PC=0x00000048 | PC_next=0x00000048 | instr=0x00000297 | stall_fetch=1 | exc_req=0 | exc_code=14
[ 1070ns | cycle   52] PC=0x00000048 | PC_next=0x00000048 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1090ns | cycle   53] PC=0x00000048 | PC_next=0x0000004c | instr=0x00000297 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1110ns | cycle   54] PC=0x0000004c | PC_next=0x0000004c | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1130ns | cycle   55] PC=0x0000004c | PC_next=0x00000050 | instr=0x1d428293 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1150ns | cycle   56] PC=0x00000050 | PC_next=0x00000050 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1170ns | cycle   57] PC=0x00000050 | PC_next=0x00000054 | instr=0x0002aa03 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1190ns | cycle   58] PC=0x00000054 | PC_next=0x00000054 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1210ns | cycle   59] PC=0x00000054 | PC_next=0x00000054 | instr=0x413a0ab3 | stall_fetch=1 | exc_req=0 | exc_code=14
[ 1230ns | cycle   60] PC=0x00000054 | PC_next=0x00000054 | instr=0x00000013 | stall_fetch=1 | exc_req=0 | exc_code=14
[ 1250ns | cycle   61] PC=0x00000054 | PC_next=0x00000054 | instr=0x413a0ab3 | stall_fetch=1 | exc_req=0 | exc_code=14
[ 1270ns | cycle   62] PC=0x00000054 | PC_next=0x00000054 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1290ns | cycle   63] PC=0x00000054 | PC_next=0x00000058 | instr=0x413a0ab3 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1310ns | cycle   64] PC=0x00000058 | PC_next=0x00000058 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1330ns | cycle   65] PC=0x00000058 | PC_next=0x0000005c | instr=0x001a8a93 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1350ns | cycle   66] PC=0x0000005c | PC_next=0x0000005c | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1370ns | cycle   67] PC=0x0000005c | PC_next=0x00000060 | instr=0x002a1b13 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1390ns | cycle   68] PC=0x00000060 | PC_next=0x00000060 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1410ns | cycle   69] PC=0x00000060 | PC_next=0x00000064 | instr=0x00299b93 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1430ns | cycle   70] PC=0x00000064 | PC_next=0x00000064 | instr=0x00000013 | stall_fetch=0 | exc_req=0 | exc_code=14
[ 1450ns | cycle   71] PC=0x00000064 | PC_next=0x00000068 | instr=0x033482b3 | stall_fetch=0 | exc_req=0 | exc_code=14
